C:\Users\nites\Downloads\simulator-windows-64\IMG\center_2021_01_15_00_17_59_268.jpg, C:\Users\nites\Downloads\simulator-windows-64\IMG\left_2021_01_15_00_17_59_268.jpg, C:\Users\nites\Downloads\simulator-windows-64\IMG\right_2021_01_15_00_17_59_268.jpg,0,0,0,7.99E-05
C:\Users\nites\Downloads\simulator-windows-64\IMG\center_2021_01_15_00_17_59_420.jpg, C:\Users\nites\Downloads\simulator-windows-64\IMG\left_2021_01_15_00_17_59_420.jpg, C:\Users\nites\Downloads\simulator-windows-64\IMG\right_2021_01_15_00_17_59_420.jpg,0,0,0,7.86E-05
C:\Users\nites\Downloads\simulator-windows-64\IMG\center_2021_01_15_00_17_59_519.jpg, C:\Users\nites\Downloads\simulator-windows-64\IMG\left_2021_01_15_00_17_59_519.jpg, C:\Users\nites\Downloads\simulator-windows-64\IMG\right_2021_01_15_00_17_59_519.jpg,0,0,0,7.88E-05
C:\Users\nites\Downloads\simulator-windows-64\IMG\center_2021_01_15_00_17_59_632.jpg, C:\Users\nites\Downloads\simulator-windows-64\IMG\left_2021_01_15_00_17_59_632.jpg, C:\Users\nites\Downloads\simulator-windows-64\IMG\right_2021_01_15_00_17_59_632.jpg,0,0,0,8.16E-05
C:\Users\nites\Downloads\simulator-windows-64\IMG\center_2021_01_15_00_17_59_733.jpg, C:\Users\nites\Downloads\simulator-windows-64\IMG\left_2021_01_15_00_17_59_733.jpg, C:\Users\nites\Downloads\simulator-windows-64\IMG\right_2021_01_15_00_17_59_733.jpg,0,0,0,7.90E-05
C:\Users\nites\Downloads\simulator-windows-64\IMG\center_2021_01_15_00_17_59_846.jpg, C:\Users\nites\Downloads\simulator-windows-64\IMG\left_2021_01_15_00_17_59_846.jpg, C:\Users\nites\Downloads\simulator-windows-64\IMG\right_2021_01_15_00_17_59_846.jpg,0,0,0,7.97E-05
C:\Users\nites\Downloads\simulator-windows-64\IMG\center_2021_01_15_00_17_59_947.jpg, C:\Users\nites\Downloads\simulator-windows-64\IMG\left_2021_01_15_00_17_59_947.jpg, C:\Users\nites\Downloads\simulator-windows-64\IMG\right_2021_01_15_00_17_59_947.jpg,0,0,0,7.81E-05
C:\Users\nites\Downloads\simulator-windows-64\IMG\center_2021_01_15_00_18_00_048.jpg, C:\Users\nites\Downloads\simulator-windows-64\IMG\left_2021_01_15_00_18_00_048.jpg, C:\Users\nites\Downloads\simulator-windows-64\IMG\right_2021_01_15_00_18_00_048.jpg,0,0,0,7.76E-05
C:\Users\nites\Downloads\simulator-windows-64\IMG\center_2021_01_15_00_18_00_148.jpg, C:\Users\nites\Downloads\simulator-windows-64\IMG\left_2021_01_15_00_18_00_148.jpg, C:\Users\nites\Downloads\simulator-windows-64\IMG\right_2021_01_15_00_18_00_148.jpg,0,0,0,8.06E-05
C:\Users\nites\Downloads\simulator-windows-64\IMG\center_2021_01_15_00_18_00_252.jpg, C:\Users\nites\Downloads\simulator-windows-64\IMG\left_2021_01_15_00_18_00_252.jpg, C:\Users\nites\Downloads\simulator-windows-64\IMG\right_2021_01_15_00_18_00_252.jpg,0,0,0,7.83E-05
